10 38 0:00:36 1
51 13 0:00:07 1
52 13 0:00:05 1
53 13 0:00:06 1
54 13 0:00:05 1
55 25 0:00:15 1
56 25 0:00:25 1
57 25 0:00:16 1
58 25 0:00:13 1
59 25 0:00:27 1
66 21 0:00:06 1
67 21 0:02:02 0
68 21 0:02:02 0
69 21 0:00:18 1
70 35 0:00:58 1
71 35 0:00:21 1
72 35 0:00:22 1
73 35 0:00:19 1
74 35 0:00:23 1
75 58 0:02:16 0
76 58 0:02:15 0
77 58 0:02:16 0
78 58 0:02:16 0
79 58 0:02:15 0
80 54 0:02:12 0
81 54 0:02:13 0
82 54 0:02:12 0
83 54 0:02:12 0
84 54 0:02:12 0
85 14 0:00:11 1
86 14 0:00:08 1
87 14 0:00:16 1
88 14 0:00:11 1
89 14 0:00:05 1
90 31 0:00:25 1
91 31 0:00:33 1
92 31 0:00:41 1
93 31 0:00:14 1
94 31 0:00:34 1
95 34 0:00:27 1
96 34 0:00:34 1
97 34 0:00:41 1
98 34 0:00:51 1
99 34 0:00:41 1
60 52 0:02:10 0
61 52 0:02:11 0
62 52 0:02:11 0
63 52 0:02:11 0
64 52 0:02:11 0
65 21 0:00:11 1
60 52 0:02:11 0
60 52 0:00:49 1
61 52 0:02:10 0
62 52 0:02:10 0
63 52 0:02:11 0
64 52 0:02:11 0
65 21 0:00:16 1
57 25 0:00:01 0
57 25 0:00:01 0 0:00:00 0
57 25 0:00:01 0 0:00:00 0
58 25 0:00:57 1 0:00:33 1
59 25 0:02:13 0 0:02:12 0
60 52 0:01:37 1 0:00:48 1
100 40 0:02:54 1 0:02:05 1
101 40 0:02:03 0 0:02:02 0
102 40 0:02:23 1 0:00:58 0
103 40 0:01:23 1 0:00:43 1
104 40 0:02:05 1 0:01:19 1
105 12 0:00:12 1 0:00:08 1
106 12 0:00:09 1 0:00:02 1
107 12 0:00:05 1 0:00:02 1
108 12 0:00:08 1 0:00:04 1
109 12 0:00:20 1 0:00:14 0
110 11 0:00:06 0 0:00:04 0
111 11 0:00:04 1 0:00:01 1
112 11 0:00:13 0 0:00:00 0
113 11 0:00:04 1 0:00:01 1
114 11 0:00:08 1 0:00:03 1
115 23 0:00:53 1 0:00:40 1
116 23 0:00:19 1 0:00:11 1
117 23 0:00:18 1 0:00:13 1
118 23 0:01:18 1 0:01:00 1
119 23 0:00:30 1 0:00:19 1
120 44 0:04:46 0 0:02:40 0
121 44 0:02:10 1 0:00:21 1
122 44 0:01:07 1 0:00:02 1
123 44 0:01:29 1 0:00:29 1
124 44 0:04:41 0 0:02:33 0
125 28 0:00:57 1 0:00:33 1
126 28 0:02:14 1 0:02:02 1
127 28 0:04:10 0 0:02:06 0
128 28 0:02:11 1 0:02:00 1
129 28 0:00:43 1 0:00:30 1
130 29 0:01:16 1 0:00:44 1
131 29 0:01:09 1 0:00:55 1
132 29 0:01:03 1 0:00:32 1
133 29 0:01:13 1 0:00:32 1
134 29 0:00:42 1 0:00:23 1
135 11 0:00:05 1 0:00:04 1
136 11 0:00:08 1 0:00:04 1
137 11 0:00:04 1 0:00:01 1
138 11 0:00:07 1 0:00:02 1
139 11 0:00:05 1 0:00:04 1
140 20 0:00:10 1 0:00:03 1
141 20 0:00:42 0 0:00:18 0
142 20 0:00:20 1 0:00:10 1
143 20 0:00:41 1 0:00:33 1
144 20 0:02:14 0 0:00:12 0
145 11 0:00:20 0 0:00:18 0
146 11 0:00:06 0 0:00:01 1
147 11 0:04:05 0 0:04:04 0
148 11 0:00:55 0 0:00:00 0
149 11 0:00:56 0 0:00:00 0
150 25 0:02:08 0 0:02:07 0
145 14 0:00:22 1 0:00:20 1
146 14 0:00:04 1 0:00:01 1
147 14 0:04:04 0 0:04:03 0
148 14 0:01:14 0 0:00:00 0
149 14 0:01:15 0 0:00:00 0
100 40 0:04:45 1 0:03:53 1
101 40 0:02:23 0 0:02:22 0
102 40 0:04:20 1 0:02:53 0
103 40 0:03:11 1 0:02:30 1
104 40 0:03:42 1 0:02:58 1
105 12 0:00:10 1 0:00:06 1
106 12 0:00:09 1 0:00:02 1
107 12 0:00:05 1 0:00:02 1
108 12 0:00:07 1 0:00:04 1
109 12 0:00:17 1 0:00:12 0
110 11 0:00:05 0 0:00:04 0
111 11 0:00:03 1 0:00:01 1
112 11 0:00:11 0 0:00:00 0
113 11 0:00:03 1 0:00:01 1
114 11 0:00:08 1 0:00:03 1
115 23 0:00:51 1 0:00:37 1
116 23 0:00:17 1 0:00:10 1
117 23 0:00:18 1 0:00:12 1
118 23 0:01:22 1 0:01:03 1
