10,13,72.300000,89.020279,3
7,11,6.100000,0.830662,4
8,15,8.800000,2.521904,3
4,13,52.300000,26.157408,5
5,8,4.200000,0.400000,4
6,11,25.200000,17.508855,6
7,9,6.300000,1.676305,3
10,13,4.400000,0.489898,3
7,11,9.200000,0.400000,4
8,15,3.000000,0.000000,3
4,13,14.100000,0.538516,5
5,8,5.500000,0.500000,4
6,11,14.500000,1.204159,6
7,9,11.300000,0.640312,3
7,11,15.000000,8.258329,4
8,15,14.600000,3.666061,3
10,11,490.500000,408.500000,3
4,13,192.833333,77.525086,5
5,7,12.500000,1.500000,4
5,8,10.875000,2.315032,4
6,11,41.750000,3.960745,6
6,11,109.000000,136.922119,6
7,9,9.000000,0.000000,3
7,9,69.111111,179.922480,3
7,11,9.000000,0.000000,4
8,15,3.000000,0.000000,3
4,13,14.400000,0.489898,5
5,8,5.500000,0.500000,4
6,11,13.000000,0.632456,6
6,11,13.000000,0.000000,6
7,9,8.800000,0.400000,3
10,13,30.444444,36.283180,3
10,13,5.000000,0.000000,3
10,13,14.900000,5.593747,3
7,11,6.900000,0.830662,4
8,15,8.900000,2.118962,3
4,13,41.900000,23.479566,5
5,8,5.000000,0.774597,4
6,11,26.700000,16.395426,6
7,9,6.700000,1.900000,3
10,13,4.200000,0.400000,3
7,11,9.000000,0.000000,4
8,15,3.000000,0.000000,3
4,13,15.000000,0.632456,5
5,8,5.400000,0.489898,4
6,11,12.900000,0.300000,6
7,9,8.500000,0.500000,3
10,13,13.800000,5.546170,3
7,11,6.100000,0.830662,4
8,15,7.800000,1.077033,3
4,13,31.600000,16.930446,5
5,8,5.500000,1.024695,4
6,11,20.000000,8.246211,6
7,9,6.000000,0.894427,3
10,13,4.900000,0.700000,3
7,11,10.000000,0.894427,4
8,15,3.100000,0.300000,3
4,13,19.000000,0.774597,5
5,8,7.300000,0.640312,4
6,11,16.400000,0.489898,6
