10 37 0:02:04 0
11 37 0:01:11 1
12 37 0:01:32 1
13 37 0:02:54 1
14 37 0:01:37 1
16 32 0:01:09 1
17 32 0:04:11 1
18 32 0:01:03 0
19 32 0:01:19 1
20 55 0:04:18 1
22 55 0:02:14 1
23 55 0:03:07 1
24 55 0:03:01 1
25 41 0:01:34 1
26 41 0:05:35 1
27 41 0:04:13 1
30 53 0:00:48 1
35 10 0:00:14 1
36 10 0:00:14 1
37 10 0:00:09 1
38 10 0:00:09 1
39 10 0:00:09 1
40 10 0:00:15 1
41 10 0:00:10 1
42 10 0:00:07 1
43 10 0:00:07 1
44 10 0:00:14 1
45 10 0:00:06 1
46 10 0:00:13 1
47 10 0:00:13 1
48 10 0:00:08 1
49 10 0:00:08 1
50 12 0:00:17 1
